"","LGA","Rep_DS","State","U5_coverage","adult_coverage","severe_cases","simday","duration","year","start_day_override","scenario"
"130","Bunza","Birnin Kebbi",NA,0.42225568,0.42225568,0.49,0,-1,2020,-1,"Scenario 1"
"131","Bursari","Taura",NA,0.125,0.125,0.49,0,-1,2020,-1,"Scenario 1"
"132","Buruku","Keana",NA,0.200000038,0.200000038,0.49,0,-1,2020,-1,"Scenario 1"
"133","Burutu","Isoko South",NA,0.12159624,0.12159624,0.49,0,-1,2020,-1,"Scenario 1"
"134","Bwari","Giwa",NA,0.154268943,0.154268943,0.49,0,-1,2020,-1,"Scenario 1"
"135","Calabar South","Nsit Ubium",NA,0.297727761,0.297727761,0.49,0,-1,2020,-1,"Scenario 1"
"136","Calabar-Municipal","Nsit Ubium",NA,0.299739676,0.299739676,0.49,0,-1,2020,-1,"Scenario 1"
"137","Chanchaga","Keana",NA,0.388965514,0.388965514,0.49,0,-1,2020,-1,"Scenario 1"
"138","Charanchi","Rimi",NA,0.105263158,0.105263158,0.49,0,-1,2020,-1,"Scenario 1"
"139","Chibok","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"140","Chikun","Soba",NA,0.02049469,0.02049469,0.49,0,-1,2020,-1,"Scenario 1"
"141","Dala","Alkaleri",NA,0.850046207,0.850046207,0.49,0,-1,2020,-1,"Scenario 1"
"142","Damaturu","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"143","Damban","Darazo",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"144","Dambatta","Babura",NA,0.333333333,0.333333333,0.49,0,-1,2020,-1,"Scenario 1"
"145","Damboa","Darazo",NA,0.114371076,0.114371076,0.49,0,-1,2020,-1,"Scenario 1"
"146","Dan Musa","Rimi",NA,0.209995572,0.209995572,0.49,0,-1,2020,-1,"Scenario 1"
"147","Dandi","Birnin Kebbi",NA,0.34910543,0.34910543,0.49,0,-1,2020,-1,"Scenario 1"
